Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Aerober TE,Ø Geschwindigkeit,Maximale Geschwindigkeit,Anstieg gesamt,Abstieg gesamt,Ø Trittfrequenz,Max. Trittfrequenz,Normalized Power® (NP®),Training Stress Score®,Maximale Ø Leistung (20 min),Ø Leistung,Max. Leistung,Pedalumdrehungen insgesamt,Body Battery Abnahme ((no dash)),Minimale Temperatur,Dekompression,Beste Rundenzeit,Anzahl der Runden,Maximale Temperatur,Ø Atemfrequenz,Minimale Atemfrequenz,Maximale Atemfrequenz,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
Radfahren,2025-06-25 22:11:06,false,"Hasle bei Burgdorf Radfahren","11.15","245","00:33:22","112","175","1.9","20.0","40.2","40","39","--","--","--","0.0","--","--","--","--","-2","26.0","Nein","00:00:22.4","12","31.0","--","--","--","00:33:17","00:33:36","576","602"
Radfahren,2025-06-25 17:58:36,false,"Lützelflüh Radfahren","1.04","31","00:02:56.8","130","165","0.8","21.1","29.2","15","1","--","--","--","0.0","--","--","--","--","--","32.0","Nein","00:00:10.1","2","33.0","--","--","--","00:02:53.7","00:02:56.8","585","600"
Radfahren,2025-06-25 17:15:19,false,"Burgdorf Radfahren","9.64","256","00:31:07","118","135","1.8","18.6","29.1","56","11","--","--","--","0.0","--","--","--","--","-5","32.0","Nein","00:02:00.9","10","34.0","--","--","--","00:30:52","00:31:32","535","586"
Radfahren,2025-06-25 07:57:40,false,"Lützelflüh Radfahren","13.47","199","00:39:44","96","119","0.4","20.3","29.8","27","90","--","--","--","0.0","--","--","--","--","-7","22.0","Nein","00:01:54.6","14","30.0","--","--","--","00:39:35","00:39:57","527","600"
Rennradfahren,2025-06-23 19:40:40,false,"Lauperswil Rennradfahren","7.26","148","00:30:52","95","128","0.4","14.1","25.7","32","55","--","--","--","0.0","--","--","--","--","--","25.0","Nein","00:01:20.2","8","33.0","20","13","27","00:30:45","00:33:17","586","634"
Rennradfahren,2025-06-23 18:03:16,false,"Lauperswil Rennradfahren","15.85","365","00:40:20","123","156","2.1","23.6","35.8","91","92","--","--","--","0.0","--","--","--","--","--","28.0","Nein","00:01:49.9","16","33.0","28","17","37","00:40:06","01:01:43","624","681"
Rennradfahren,2025-06-23 17:13:36,false,"Hasle bei Burgdorf Rennradfahren","7.93","156","00:32:37","95","139","0.5","14.6","27.1","70","50","--","--","--","0.0","--","--","--","--","--","26.0","Nein","00:03:23.1","8","32.0","21","15","28","00:32:23","00:35:21","586","627"
Radfahren,2025-06-19 20:57:52,false,"Burgdorf Radfahren","9.41","329","00:34:32","126","151","2.1","16.3","27.6","72","9","--","--","--","0.0","--","--","--","--","-3","27.0","Nein","00:01:49.4","10","31.0","--","--","--","00:34:29","00:34:32","532","599"
Radfahren,2025-06-19 16:32:26,false,"Ittigen Radfahren","6.41","256","00:21:09","144","173","2.8","18.2","45.3","71","117","--","--","--","0.0","--","--","--","--","-4","32.0","Nein","00:01:56.3","7","34.0","--","--","--","00:20:51","00:22:41","502","566"
Rennradfahren,2025-06-19 12:24:57,false,"Hasle bei Burgdorf Rennradfahren","24.49","547","01:10:59","119","163","2.4","20.7","47.8","187","231","--","--","--","0.0","--","--","--","--","--","28.0","Nein","00:01:14.0","25","41.0","--","--","--","01:10:50","01:11:28","549","696"
